Färdighets-ID,Antal experiment
PR07,47
PR19,42
PR06,37
PR17,36
EL04,34
MK14,33
MK11,33
EL09,32
EL05,31
MK08,28
EL10,26
EL07,22
PR14,22
PR13,21
PR11,19
PR12,18
MK10,18
MK12,18
MK07,18
MK09,18
PR16,18
PR20,16
EL14,16
PR05,15
PR15,15
EL15,14
PR21,14
MK06,13
EL03,12
EL11,11
EL20,11
PR10,10
MK02,9
EL08,9
PR04,8
MK15,8
EL18,8
MK13,8
PR03,7
EL16,7
EL21,7
MK05,6
PR18,5
PR09,4
EL12,4
EL23,4
EL24,4
EL13,3
EL19,3
PR22,3
EL25,3
PR02,2
MK03,2
MK04,2
EL06,2
PR08,2
EL17,2
EL22,2
EL26,2
PR23,2
PR24,2
PR25,2
EL01,1
EL02,1
PR01,1
MK01,1
PR26,1
