Kodkoncept,Första kapitel,Första experiment,Återkommer i
setup()/loop(),1,E001,hela boken
pinMode(),1,E001,hela boken
digitalWrite(),1,E001,hela boken
delay(),1,E001,tidiga kapitel
variabler,1–2,E002/E007,hela boken
for,2,E007/E008,"LED, animationer, spel"
PWM,2,E012/E015,"LED, motorer"
digitalRead(),3,E026,"knappar, sensorer"
INPUT_PULLUP,3,E027,knappar
if,3,E026,hela boken
booleskt tillstånd,3,E029,"spel, larm, lås"
arrayer,4,E037/E044,"melodier, sekvenser, pixlar"
millis(),4–5,E041/E021,"reaktion, larm"
analogRead(),5,E051,sensorer
tröskelvärden,5,E052,"sensorer, larm"
bibliotek,7–8,E062/E076,"display, sensor, servo"
OLED-text,8,E076,instrumentpaneler
pixelindex,9,E081/E084,matris/NeoPixel
servo-bibliotek,10,E087,rörelse
map(),10,E088/E089,sensor till vinkel
motorfunktioner,11,E101,robotik
ID-jämförelse,12,E109/E110,RFID/IR
filskrivning,13,E117,datalogging
WiFi,13,E119,IoT
webbserver,13,E119,IoT
projektfunktioner,14,E120,egna projekt
