Figur,Typ,Beskrivning
1-1,Komponentbild,"ESP32, breadboard, LED, motstånd och jumperkablar"
1-2,Breadboard,första LED-kopplingen
1-3,Begreppsbild,LED-polaritet
1-4,Kodbild,`setup()` och `loop()`
1-5,Lägg-till-bild,två LED
1-6,Projektbild,fyrtorn/polisljus
2-1,Breadboard,flera LED i rad
2-2,Flödesschema,LED-stafett
2-3,Komponentbild,RGB-LED och ben
2-4,Breadboard,RGB-LED med motstånd
2-5,Begreppsbild,PWM som snabb blinkning
2-6,Färgkarta,RGB-värden till färger
2-7,Projektbild,stämningslampa
3-1,Komponentbild,tryckknapp och breadboardplacering
3-2,Breadboard,knapp + LED
3-3,Begreppsbild,knapp öppen/stängd
3-4,Kodbild,`digitalRead()` och `INPUT_PULLUP`
3-5,Flödesschema,lampan minns
3-6,Projektbild,mini-kodlås
4-1,Komponentbild,passiv buzzer
4-2,Breadboard,buzzer + ESP32
4-3,Begreppsbild,ton som vibration
4-4,Flödesschema,reaktionsspel
4-5,Kodbild,array med toner
4-6,Projektbild,Simon Says
5-1,Breadboard,LDR som spänningsdelare
5-2,Begreppsbild,ljusvärde mörkt/ljust
5-3,Breadboard,LED-barometer
5-4,Komponentbild,HC-SR04
5-5,Säkerhetsbild,"Echo och 3,3V"
5-6,Systembild,parkeringssensor
5-7,Projektbild,parkeringshjälpen
6-1,Komponentbild,reedkontakt + magnet
6-2,Breadboard,dörrlarm
6-3,Komponentbild,tilt-sensor
6-4,Komponentbild,PIR
6-5,Systembild,sensor triggar larm
6-6,Projektbild,spökhus
7-1,Komponentbild,DHT22
7-2,Breadboard,DHT22 + ESP32
7-3,Skärmbild,OLED med temperatur/fukt
7-4,Komponentbild,jordfuktighetssensor
7-5,Kalibreringsbild,torr/fuktig jord
7-6,Komponentbild,mikrofonmodul
7-7,Projektbild,sensorlaboratoriet
8-1,Komponentbild,OLED I²C
8-2,Breadboard,OLED + ESP32
8-3,Begreppsbild,SDA/SCL
8-4,Skärmbild,meny på OLED
8-5,Systembild,sensorvärden till instrumentpanel
8-6,Projektbild,mini-instrumentpanelen
9-1,Komponentbild,MAX7219 LED-matris
9-2,Breadboard,LED-matris
9-3,Pixelkarta,8x8-koordinater
9-4,Komponentbild,NeoPixel-ring
9-5,Breadboard,NeoPixel + ESP32
9-6,Animation,regnbåge/ljussekvens
9-7,Projektbild,reaktionsring
10-1,Komponentbild,SG90 servo och kabelfärger
10-2,Breadboard,servo + ESP32
10-3,Begreppsbild,servovinkel 0/90/180
10-4,Breadboard,potentiometer styr servo
10-5,Systembild,sensor styr servo
10-6,Projektbild,skattkista
10-7,Projektbild,interaktiv larmcentral
11-1,Säkerhetsbild,motor får inte kopplas direkt till GPIO
11-2,Komponentbild,L9110S motordrivare
11-3,Breadboard,DC-motor + motordrivare
11-4,Flödesschema,framåt/bakåt/stopp
11-5,Systembild,hinderrobot
11-6,Projektbild,robotbas
12-1,Komponentbild,RFID RC522 + tagg
12-2,Breadboard,RFID + ESP32
12-3,Flödesschema,godkänd/nekad tagg
12-4,Projektbild,RFID-skattkista
12-5,Komponentbild,IR-mottagare + fjärr
12-6,Breadboard,IR-mottagare
12-7,Kodtabell,fjärrknapp till funktion
13-1,Komponentbild,DS3231 RTC
13-2,Breadboard,RTC + OLED
13-3,Komponentbild,MicroSD-modul
13-4,Dataexempel,CSV-logg
13-5,Systembild,väderloggare
13-6,Nätverksbild,ESP32 som enkel webbsida
13-7,Skärmbild,webbsida i webbläsare
14-1,Projektkarta,"välj input, output och uppdrag"
14-2,Mallbild,minsta fungerande version
14-3,Flöde,idé → prototyp → test → förbättring
14-4,Exempelbild,smart hem
14-5,Exempelbild,spel/escape room
14-6,Exempelbild,robotprojekt
14-7,Presentationsmall,visa upp uppfinningen
